Box_conveyor;Part_conveyor;Grab;C_plus;Auto;Manual;Emergency_stop;Reset_button;Start;Stop;Part_at_place;Box_at_place;Detected;C_limit;Temps_occurrence
false;false;false;false;false;true;true;false;false;true;true;true;false;true;58704641507
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58794847377
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58794881236
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58794913187
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58795166882
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58795327783
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58795393741
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58795456702
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58795537653
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58795569633
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58795601614
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58795668571
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58795707548
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58795771508
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58795803488
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58795949397
false;true;false;false;true;false;true;false;false;true;true;false;true;true;58796348118
false;true;false;false;true;false;true;false;false;true;true;false;true;true;58796363640
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58796490568
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58796555529
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58796588266
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58796652226
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58796716692
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58796750671
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58796783688
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58796830660
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58796861640
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58796895620
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58796991561
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797135483
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797154472
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797262404
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797406320
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797431304
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797464283
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797511760
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797543739
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797611698
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797645677
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797680656
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797711636
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797743617
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797775596
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58797918509
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58798189340
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58798429685
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58798494256
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58798557770
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58798700683
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58798796622
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58798829601
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58799135922
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58799154912
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58799265843
false;false;true;false;true;false;true;false;false;true;true;false;true;true;58799379771
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58799395761
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58799446730
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58799539896
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58799683807
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58799704793
