Box_conveyor;Part_conveyor;Grab;C_plus;Auto;Manual;Emergency_stop;Reset_button;Start;Stop;Part_at_place;Box_at_place;Detected;C_limit;SP_X;SP_Y;SP_Z;X;Y;Z;Counter;Temps_occurrence
false;false;false;false;false;true;true;false;false;true;true;true;false;true;0.0;0.0;0.0;0.0;0.0;0.0;0;[datetime.datetime(2020, 8, 24, 12, 58, 8, 943587)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;0.0;4.4;3.0;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 39, 149457)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;0.0;4.0;3.1;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 39, 183316)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;0.0;3.0;3.1;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 39, 215267)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;10.0;3.0;3.1;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 39, 468962)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;10.0;3.1;3.1;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 39, 629863)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;10.0;3.1;3.1;1.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 39, 695821)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;10.0;3.1;3.1;2.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 39, 758782)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;10.0;3.1;3.1;3.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 39, 839733)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;10.0;3.1;3.1;4.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 39, 871713)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;10.0;3.1;3.1;5.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 39, 903694)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;10.0;3.1;3.1;6.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 39, 970651)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;10.0;3.1;3.1;7.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 40, 9628)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;10.0;3.1;3.1;7.9;0;[datetime.datetime(2020, 8, 24, 12, 59, 40, 73588)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;10.0;3.1;3.1;8.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 40, 105568)]
false;true;true;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;10.0;3.1;3.1;9.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 40, 251477)]
false;true;false;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;10.0;3.1;3.1;9.9;0;[datetime.datetime(2020, 8, 24, 12, 59, 40, 650198)]
false;true;false;false;true;false;true;false;false;true;true;false;true;true;3.0;3.0;0.0;3.1;3.1;9.9;0;[datetime.datetime(2020, 8, 24, 12, 59, 40, 665720)]
false;false;false;false;true;false;true;false;false;true;false;false;true;true;3.0;3.0;0.0;3.1;3.1;9.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 40, 792648)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;3.0;3.0;0.0;3.1;3.1;9.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 40, 857609)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;3.0;3.0;0.0;3.1;3.1;8.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 40, 890346)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;3.0;3.0;0.0;3.1;3.1;7.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 40, 954306)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;3.0;3.0;0.0;3.1;3.1;6.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 18772)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;3.0;3.0;0.0;3.1;3.1;5.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 52751)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;3.0;3.0;0.0;3.1;3.1;4.9;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 85768)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;3.0;3.0;0.0;3.1;3.1;4.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 132740)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;3.0;3.0;0.0;3.1;3.1;3.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 163720)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;3.0;3.0;0.0;3.1;3.1;2.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 197700)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;3.0;3.0;0.0;3.1;3.1;1.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 293641)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;3.0;3.0;0.0;3.1;3.1;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 437563)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;0.0;3.1;3.1;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 456552)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;0.0;3.0;3.0;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 564484)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;0.0;3.0;4.0;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 708400)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;0.0;3.0;4.4;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 733384)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;0.0;4.0;4.0;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 766363)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;0.0;4.0;4.9;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 813840)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;0.0;4.0;5.0;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 845819)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;0.0;4.9;5.0;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 913778)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;0.0;5.0;5.3;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 947757)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;0.0;5.4;5.3;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 41, 982736)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;0.0;5.0;5.4;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 42, 13716)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;0.0;5.9;5.4;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 42, 45697)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;0.0;6.0;5.4;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 42, 77676)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;0.0;7.0;5.4;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 42, 220589)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;5.0;7.9;5.4;0.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 42, 491420)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;5.0;7.9;5.4;1.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 42, 731765)]
false;false;false;false;true;false;true;false;false;true;false;false;false;true;8.0;5.5;5.0;7.9;5.4;2.0;0;[datetime.datetime(2020, 8, 24, 12, 59, 42, 796336)]
