Box_conveyor;Part_conveyor;Grab;C_plus;Auto;Manual;Emergency_stop;Reset_button;Start;Stop;Part_at_place;Box_at_place;Detected;C_limit;Temps_occurrence
false;false;false;false;false;true;true;false;false;true;true;true;false;true;63826095041507
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826185247377
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826185281236
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826185313187
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826185566882
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826185727783
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826185793741
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826185856702
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826185937653
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826185969633
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826186001614
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826186068571
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826186107548
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826186171508
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826186203488
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826186349397
false;true;false;false;true;false;true;false;false;true;true;false;true;true;63826186748118
false;true;false;false;true;false;true;false;false;true;true;false;true;true;63826186763640
false;false;false;false;true;false;true;false;false;true;false;false;true;true;63826186890568
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826186955529
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826186988266
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187052226
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187116692
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187150671
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187183688
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187230660
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187261640
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187295620
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187391561
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187535483
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187554472
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187662404
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187806320
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187831304
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187864283
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187911760
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826187943739
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826188011698
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826188045677
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826188080656
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826188111636
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826188143617
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826188175596
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826188318509
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826188589340
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826188829685
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826188894256
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826188957770
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826189100683
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826189196622
false;false;false;false;true;false;true;false;false;true;false;false;true;true;63826189229601
false;false;true;false;true;false;true;false;false;true;false;false;true;true;63826189535922
false;false;true;false;true;false;true;false;false;true;false;false;true;true;63826189554912
false;false;true;false;true;false;true;false;false;true;false;false;true;true;63826189665843
false;false;true;false;true;false;true;false;false;true;true;false;true;true;63826189779771
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826189795761
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826189846730
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826189939896
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826190083807
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826190104793
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826190208729
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826190256562
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826190384384
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826190448550
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826190588466
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826190622446
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826190653426
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826190686407
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826190720384
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826190863803
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826191103446
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826191266346
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826191342303
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826191412259
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826191478218
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826191509199
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826191540180
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826191572161
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826191653111
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826191717071
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826191750050
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826191887964
false;false;true;false;true;false;true;false;false;true;false;false;true;true;63826192261480
false;false;true;false;true;false;true;false;false;true;false;false;true;true;63826192321447
false;false;false;false;true;false;true;false;false;true;false;false;true;true;63826192337437
false;false;false;false;true;false;true;false;false;true;false;false;true;true;63826192354426
false;false;false;false;true;false;true;false;false;true;false;false;true;true;63826192496577
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826192528556
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826192576678
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826192635645
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826192699614
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826192732593
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826192765573
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826192797553
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826192862513
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826192973445
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826193103365
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826193119354
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826193247275
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826193279255
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826193455147
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826193584067
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826193615047
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826193646034
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826193678013
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826193726983
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826193758964
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826193885885
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826194125746
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826194366596
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826194429556
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826194543486
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826194671406
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826194735366
false;false;false;false;true;false;true;false;false;true;false;false;true;true;63826194767347
false;false;false;false;true;false;true;false;false;true;false;false;true;true;63826194812319
false;false;true;false;true;false;true;false;false;true;false;false;true;true;63826195084003
false;false;true;false;true;false;true;false;false;true;false;false;true;true;63826195100991
false;false;true;false;true;false;true;false;false;true;false;false;true;true;63826195213921
false;false;true;false;true;false;true;false;false;true;true;false;true;true;63826195312860
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826195346839
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826195379820
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826195458772
false;true;true;false;true;false;true;false;false;true;true;false;true;true;63826195585696
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826195602686
false;true;true;true;true;false;true;false;false;true;true;false;true;false;63826195732604
false;true;true;true;true;false;true;false;false;true;true;false;true;false;63826195766584
false;true;true;true;true;false;true;false;false;true;true;false;true;false;63826195797565
false;true;true;true;true;false;true;false;false;true;true;false;true;false;63826195829544
false;true;true;true;true;false;true;false;false;true;true;false;true;false;63826195861526
false;true;true;true;true;false;true;false;false;true;true;false;true;false;63826195972457
false;true;true;true;true;false;true;false;false;true;true;false;true;false;63826196102375
false;true;true;true;true;false;true;false;false;true;true;false;true;false;63826196134356
false;true;true;true;true;false;true;false;false;true;true;false;true;false;63826196166336
false;true;true;true;true;false;true;false;false;true;true;false;true;false;63826196200315
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826196232295
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826196280266
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826196312246
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826196345226
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826196410187
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826196553157
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826196618057
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826196651036
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826196780568
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826196845526
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826196910990
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826197025921
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826197088880
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826197121860
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826197216802
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826197249780
false;true;true;true;true;false;true;false;false;true;true;false;true;true;63826197522611
false;true;false;false;true;false;true;false;false;true;true;false;true;true;63826197539601
false;true;false;false;true;false;true;false;false;true;true;false;true;true;63826197555592
false;true;false;false;true;false;true;false;false;true;true;false;true;false;63826197669521
false;true;false;false;true;false;true;false;false;true;true;false;false;false;63826197734480
false;true;false;false;true;false;true;false;false;true;true;false;false;false;63826197809980
false;true;false;false;true;false;true;false;false;true;false;false;false;false;63826197875654
false;false;false;false;true;false;true;false;false;true;false;false;false;false;63826197888636
false;false;false;false;true;false;true;false;false;true;false;false;false;false;63826197938606
false;false;false;false;true;false;true;false;false;true;false;false;false;false;63826198067033
true;false;false;false;true;false;true;false;false;true;false;false;false;false;63826198083526
true;false;false;false;true;false;true;false;false;true;false;false;false;true;63826198308388
false;false;false;false;true;false;true;false;false;true;false;true;false;true;63826200284104
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826200621893
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826200652874
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826200749815
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826200830763
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826200862744
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826200959684
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826201023645
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826201055625
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826201136574
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826201168554
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826201200536
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826201263496
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826201393362
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826201664080
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826201681068
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826201919426
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826201985385
false;false;false;false;true;false;true;false;false;true;false;false;false;true;63826202081456
